hostname,software
stream.pavot.ca,owncast
social.kamartaj.xyz,firefish
vamzdis.group.lt,peertube
escobar.social,mastodon
mastodon.lermer.nl,mastodon
opinuendo.com,mastodon
mstdn.choosingjoy.us,mastodon
social.furryrefuge.com,mastodon
josh.tel,mastodon
social.turbonutria.es,sharkey
social.luca.run,mastodon
media.gzevd.de,peertube
peertube.trabus322.eu,peertube
m.chun.pro,mastodon
bloom.surf,mastodon
social.lily.flowers,mastodon
blog.daxmurray.com,writefreely
social.balpha.de,mastodon
starfruit.cafe,mastodon
hubzilla.fkn-systems.de,hubzilla
peertube.tiennot.net,peertube
mastodon.kaiserflur.de,mastodon
mastodon.number251.duckdns.org,mastodon
mastodon.wasnt.net,mastodon
social.boom.army,mastodon
social.alexschroeder.ch,gotosocial
frish.org,mastodon
git.mattcen.com,forgejo
lincolnite.net,hometown
mastodon.mihalis.net,mastodon
configure.ac,mastodon
p0.waka.style,rosekey
mastodon.fivest.one,mastodon
kevinianbryan.social,mastodon
peak.pub,mastodon
sushruttest1.staging.fedihost.co,peertube
flowerpot.fyi,mastodon
m.winblad.io,mastodon
social.wcore.org,gotosocial
social.eqver.se,mastodon
mastodon.canonicity.org,mastodon
deepwoodsocial.net,mastodon
peertube.nomagic.uk,peertube
mastodon.chasalin.nl,mastodon
mytter.jp,mastodon
links.setsideb.com,lemmy
bygg.land,mastodon
fedi.fun,gotosocial
social.singularity.sh,mastodon
ferny.sh,sharkey
skeptube.fr,peertube
m.t327.net,misskey
sharkey.winscloud.net,sharkey
wizzzard.online,hometown
mastodon.apps.f-on.at,mastodon
mastodon.phychim-franco.fr,mastodon
dm824.fedicity.net,mastodon
cleverlibre.org,Fedipage
lemmy.runesmite.com,lemmy
funcoland.net,mastodon
frawas.de,mastodon
supernova.place,lemmy
nexusofnerd.org,mastodon
moonmoth.de,wordpress
apobangpo.space,mastodon
phoenix.masto.host,mastodon
a.jerl.zone,akkoma
solidcharity.net,mastodon
verified.mastodonmedia.xyz,mastodon
lemmy.killtime.online,lemmy
hola-soy-milk.online,mastodon
daily-life.naia.gay,writefreely
mastodon.jubison.fr,mastodon
owncast.svc.0x0a.network,owncast
ap.ketsuben.red,mastodon
carl.fish,mastodon
escritura.social,writefreely
pl.dokyun.club,pleroma
lifetheorymedia.wordpress.com,wordpress
opensource.network,mastodon
shuuji3.takahe.social,takahe
msk.kitazawa.me,misskey
weilnboeck.social,mastodon
palaver.p3x.de,PieFed
social.sqrrl.xyz,mastodon
neubau.social,mastodon
social.oevents.co.za,mastodon
void.hostdon.ne.jp,mastodon
social.mapolist.com,mastodon
social.klein.ruhr,mastodon
poorlyrendered.com,mastodon
jlfr.me,mastodon
write.lain.faith,plume
soc.ua-fediland.de,mastodon
social.tomster.org,pleroma
owo.rs,mastodon
robertparker.se,mastodon
mi.underscore.world,iceshrimp
evrial.com,mastodon
social.tzi.fr,mastodon
4bear.com,mastodon
mastodon.autostatic.net,mastodon
blogator.com,mastodon
exoticsatlarge.apes.org.uk,mastodon
wacha.punks.cc,peertube
pix.durehed.se,pixelfed
maidsin.space,pleroma
social.bloecker.dev,gotosocial
video.vegafjord.me,peertube
octodon.social,mastodon
nbnq.space.jone.wang,firefish
crime.st,mastodon
isnot.online,akkoma
mastodon.setsuna.kr,mastodon
mstdn.kernel-panic.lol,mastodon
itdev.social,mastodon
mstdn.myifn.de,mastodon
social.mikutter.hachune.net,mastodon
msd.fedcast.ch,mastodon
olifant.fi,mastodon
social.lokinet.uk,mastodon
gts.djs.to,gotosocial
misskey-f.com,misskey
en.gy,mastodon
mstdn.mx,mastodon
misskey.design,misskey
floof.link,mastodon
gorf.network,peertube
rankett.net,peertube
roseraie.me,mastodon
video.eientei.org,peertube
beta.keskonfai.fr,Mobilizon
social.project-insanity.org,mastodon
pixelfed.mrpetovan.com,pixelfed
git.kabelsalat.ch,forgejo
relay.tkz.one,tkzrelay
mastodon.plong.eu,mastodon
no.lastname.nz,lemmy
hydaelyn.coerthansnowstorm.online,mastodon
social.gmtz.me,mastodon
fedi.lamer-ethos.site,akkoma
oban.borked.technology,pleroma
mastodon.server.fifthdread.com,mastodon
mcr.wtf,mastodon
fedi.freakshit.org,mastodon
fedi.selfprivacy.org,mastodon
lou.lt,mastodon
ryukeikoku.cc.draboros.net,
antisocial.pingusmc.org,gotosocial
fw.uvok.de,funkwhale
social-groups.ulysseus.eu,mastodon
freundlich.schinbo.de,friendica
peertube.cpy.re,peertube
toot.paris,mastodon
lotz.cloud,mastodon
kalakukko.social,mastodon
calebhearth.com,mastodon
mastodon.wolfwithsword.com,mastodon
pl.fediverse.pl,pleroma
masto.bike,mastodon
gts.jrashford.com,gotosocial
pub.ivasilev.net,mastodon
breastmilk.club,akkoma
frittaten.at,mastodon
shitpisscum.mooo.com,pleroma
videos.offroad.town,peertube
thetake.zone,mastodon
fr.readthefinemanual.net,friendica
friends.unixweb.net,friendica
video.gustavlindqvist.se,peertube
social.fedida.com,mastodon
mastodon.cyberhub.sbs,mastodon
pentacoxian.net,misskey
mofu.one,mastodon
lemmy.technosorcery.net,lemmy
poa.st,pleroma
social.maplecrew.org,mastodon
friends.wimmer-edv.de,friendica
social.bannedwagon.team,gotosocial
astral.camp,mastodon
ricard.social,mastodon
zug.network,mastodon
third-party.cyou,gotosocial
mastotut.cat,mastodon
swebbtube.se,peertube
centertown.fun,mastodon
writing.exchange,mastodon
videos.capas.se,peertube
live.nano.lgbt,owncast
open.relay.social.techniverse.net,aoderelay
genau.qwertqwefsday.eu,foundkey
social.gergen.family,mastodon
mastodon.gcreate.jp,mastodon
social.fouquet.me,mastodon
mastodon.jepsen.io,mastodon
pon.tv,peertube
mastodon.paladinzero.com,mastodon
live.kd0bpv.name,owncast
pleroma.kitsunemimi.club,pleroma
peertube.cube4fun.net,peertube
fietkau.social,mastodon
social.jmittendorfer.at,gotosocial
craftodon.social,mastodon
nightfeather.cafe,akkoma
social.schwerkraftlabor.de,gotosocial
misskey.tachikawa-nsk.site,misskey
hapyyr.com,mastodon
elonsucks.org,mastodon
tanuki.social,mastodon
ncbt.space,akkoma
crashtodon.net,mastodon
tube.anufrij.de,peertube
snooter.space,mastodon
selfhosted.forum,lemmy
mastodon.philtanner.com,mastodon
pellicule.bim.land,pixelfed
masto.krashboyz.org,mastodon
ne.codes,mastodon
social.nox.onl,gotosocial
www.ouahouah.eu,friendica
mastodon.damutten.ch,mastodon
social.sieprawski.pl,mastodon
kerr.social,friendica
journodon.com,mastodon
philately.social,mastodon
mast.qixto.com,mastodon
noto.social,mastodon
mastodo.neoliber.al,mastodon
rkgk.moe,misskey
mrrp.chimmie.k.vu,sharkey
swurl.land,misskey
lemmy.mindoki.com,lemmy
drk.network,mastodon
runicfire.masto.host,mastodon
misskey.vocalodon.net,misskey
social.remoteplay.im,mastodon
write.grischa.de,writefreely
amami.paradigm-x.tokyo,pleroma
toon.social,mastodon
dormi.zone,lemmy
mbin.zerojay.com,mbin
mastodon.platformgoblin.com,mastodon
gn2.social,mastodon
dizl.de,mastodon
videos.agoraoulucas.com,peertube
hopmann.xyz,gotosocial
rethinkplaces.social,mastodon
neos.social,mastodon
mstdn.nere9.help,mastodon
zweibruecken.social,mastodon
bot.country,gotosocial
soc.nym.se,mastodon
peertube.eus,peertube
cursoryreview.org,mastodon
blog.eanske.eu,writefreely
view.pointless.chat,peertube
t.q12.im,mastodon
kcal.dpl.tools,Mobilizon
mordor.social,friendica
pic.krashboyz.org,pixelfed
pixel.webschneider.org,pixelfed
marisabel.nl,KnfettiBox
tpo.world,pleroma
status.sexyferret.science,pleroma
verbnounenter.net,writefreely
social.undergroundsche.me,pleroma
clipet.tv,peertube
tube.revertron.com,peertube
moonlight-party.net,pleroma
kcmo.social,mastodon
biscuit.town,mastodon
skrt.social,mastodon
glennfitzpatrick.com,mastodon
cubhub.social,mastodon
rewarp.com,misskey
socks.cafe,incestoma
mastodon.fun7.de,mastodon
huaren.social,mastodon
fedi.fennec.town,sharkey
blog.guillouais.fr,writefreely
links.mgdm.net,betula
troll.tv,peertube
social.moormaker.space,mastodon
blog.progressiv.dev,writefreely
soc.7thmagic.net,akkoma
social.mauldasch.de,pleroma
write.raisonanz.nl,writefreely
blog.mastodon.world,writefreely
cirno9.mynetgear.com,mastodon
uchujin.space,
firefish.asso-purr.eu.org,firefish
mastodon.thentrythis.org,mastodon
peertube.rural-it.org,peertube
meetbeauties.social,mastodon
cloudisland.nz,mastodon
don.zr23.aomori.jp,mastodon
ocalaavenue.net,mastodon
friprogramvarusyndikatet.tv,peertube
windscribe.social,mastodon
seal.cafe,pleroma
social.beaware.live,mastodon
a.gup.pe,GuppeGroups
sir-photch.xyz,gotosocial
mstdn.massmist.net,mastodon
stream.rlp-media.de,peertube
borahae.love,mastodon
mastodon.beer,mastodon
corndog.social,lemmy
osintunleashed.masto.host,mastodon
goark.fedicity.net,mastodon
mstdn.bar,kmyblue
hubzilla.tpshd.de,hubzilla
social.0x705h.com,mastodon
microhive.org,pixelfed
srcr.nl,gotosocial
the-nutrivore.social,mastodon
mastodon.gabrieldebonis.es,mastodon
computational.agency,mastodon
awoo.town,mastodon
nebula.neo7.kim,pleroma
peertube.skorpil.cz,peertube
lem.nimmog.uk,lemmy
social.scholzbande.de,mastodon
mobilizon.musicstudio.pro,Mobilizon
blog.winsdominoes.net,writefreely
blog.hilltown.studio,writefreely
mastodon.hopbox.net,mastodon
mastodon.twiddlebang.org,mastodon
barkclub.xyz,mastodon
blog.marud.fr,writefreely
social.sciences.re,mastodon
mastodon.dduel.dev,mastodon
social.laniustrolling.dev,pleroma
zarapito.cl,pixelfed
mi.tebukuro.xyz,misskey
ptrevolutiontv.noblogs.org,wordpress
videos.lukesmith.xyz,peertube
seoul.earth,mastodon
mstdn.yishibashi.me,mastodon
videos.devteams.at,peertube
flx.masto.host,mastodon
pixelfed.in.ua,pixelfed
quokk.au,lemmy
lm.madiator.cloud,lemmy
mastodon.acerbo.me,mastodon
pawb.fun,mastodon
p.sugar-free-jazz.com,pleroma
social.tardypad.me,gotosocial
furries.club,mastodon
mastodon.lacan.net,mastodon
activityrelay.michae.lv,aoderelay
mastodon.meguhub.com,mastodon
pleroma.fapuro.dscloud.me,pleroma
toot.ss23.geek.nz,mastodon
mastodon.yoanndelattre.com,mastodon
mountaincommunity.co,pleroma
mastodon.thesilentlink.org,mastodon
peertube.anti-logic.com,peertube
social.anarchy-nomad.de,mastodon
blog.cyberia.club,writefreely
qunok.com,pleroma
squatch.online,mastodon
social.tomkrizan.com,mastodon
funk.tmp.si,funkwhale
its.ryjelsum.me,gotosocial
toot.pingu4.me,mastodon
social.ulysses.app,mastodon
pixelfed.raoull.org,pixelfed
ebiverse.social,misskey
social.finton.cc,mastodon
level-up.zone,lemmy
lemmy.petecca.com,lemmy
lemmy.lundgrensjostrom.com,lemmy
mstdn.in.th,mastodon
social.begyn.be,mastodon
the.voiceover.bar,mastodon
social.thirdstage.ca,mastodon
social.accolades.coop,mastodon
meow.church,akkoma
contentnation.net,ContentNation
mastodon.stevesworld.co,mastodon
social.haj.gf,pleroma
mcnamarii.town,mastodon
fedi.omada.cafe,mastodon
owocrafts.logzinga.com,gotosocial
digitalnomads.social,friendica
sushi.ski,misskey
zacpwhite.social,mastodon
play-my.video,peertube
faithcollapsing.com,mastodon
mobilizon.agdersam.no,Mobilizon
redfuku.com,misskey
probandoactivitypub6.sutty.nl,sutty-distributed-press
mstdn.nan1.casa,mastodon
hub.gjdwebserver.nl,mastodon
kaartinen.social,mastodon
social.interlan.ec,friendica
anthro.cc,ditto
puniman.xsns.jp,mastodon
social.konecnyjakub.top,friendica
elle.systems,mastodon
chaos.social,mastodon
popon.pptdn.jp,mastodon
video.firehawk-systems.com,peertube
mastodon.nl,mastodon
hub.vahfoom3iquahfah.infinitedisk.com,mastodon
twt.rs,misskey
jumbler.jacab.net,misskey
justsave.space,mastodon
artcrimes.gay,mastodon
social.younger.wtf,mastodon
watch.stevensonmediagroup.ca,owncast
video.voidconspiracy.band,peertube
rednosehacker.com,writefreely
reidodon.net,mastodon
gearhead.town,lemmy
cute-spellcasting-ideas.eu,IceshrimpNET
social.myconan.net,mastodon
plume.benboeckel.net,plume
social.frith.dev,mastodon
mobilizon.oicn.icu,Mobilizon
mastodon.slg-aachen.de,mastodon
end0.ru,mastodon
varmint.town,mastodon
social.cologne,mastodon
mesmerized.online,mastodon
phyrexia.ru,mastodon
pomdon.work,mastodon
mastodon.buzhangjiuzhou.com,mastodon
pt.gogreenit.net,peertube
misskey.3dcg.love,misskey
m.adventurehound.io,mastodon
e.fo,mastodon
pynews.com.br,mastodon
deadinsi.de,mastodon
social.xwyqi.org,gotosocial
mastodon.jangho.io,mastodon
m.jinwei.me,mastodon
nothankyou.hostdon.ne.jp,mastodon
akiba.party,mastodon
crime-net.org,sharkey
s6jr.com,activipypub
gailgoodwin.com.au,wordpress
mastodon.d2dx.com,mastodon
friendica.d1nu.de,friendica
mastodev.fedilab.app,mastodon
jrd.cat,mastodon
josa.social,mastodon
booja.ca,lemmy
protocol7.bluemarch.art,akkoma
mastodon.stickbear.me,mastodon
eponaauthor.social,mastodon
funkwhale.alldnb.com,funkwhale
uirapuru.ibict.br,mastodon
social.dayvancowboy.net,mastodon
ftl.chat,mastodon
missingkey.0sakana.xyz,misskey
social.kd0ioe.com,mastodon
mstdn.emotiongraphics.jp,mastodon
video.liveitlive.show,peertube
blog.natty.sh,writefreely
lem.monster,lemmy
kafka.icu,misskey
lemmy.blugatch.tube,lemmy
social.technomancy.nexus,pleroma
lounge.collabfc.com,pleroma
mastodon.rapidcow.org,mastodon
abypom.work,mastodon
pinnipedia.fedicity.net,mastodon
pixel.gruene.social,pixelfed
focalorus.io,misskey
glitch.cat.family,mastodon
posting.institute,mastodon
social.securitytheater.net,mastodon
drslump.canpavon.cat,firefish
misskey.nekovo.dev,misskey
dreamin.online,mastodon
southfox.gay,foxhole
owncast.mxks.dj,owncast
social.chaotikum.org,mastodon
mone.dev,mastodon
rss-mstdn.studiofreesia.com,mastodon
luzeed.org,pixelfed
mastodon.joinhaven.us,mastodon
visitors.sk,mastodon
fediverse.sideras.net,pleroma
social.lasanha.org,pleroma
ghost-relay.ovh.padserver.xyz,
social.insider-it.de,mastodon
graphvisualization.masto.host,mastodon
hi.hashi.icu,misskey
blahaj.social,mastodon
oozuze.social,mastodon
mensmaaktmooi.nl,mastodon
fediverse.zachleat.com,mastodon
mastodon.ste.no,mastodon
fedi.keinpfusch.net,gotosocial
calckeymusic.social,firefish
opensimsocial.com,mastodon
cestino.life,mastodon
sounds.lumbung.space,funkwhale
audio.anartist.org,funkwhale
wrily.foad.me.uk,writefreely
txnet.social,mastodon
dragonscave.space,mastodon
kneel.before.dog,akkoma
books.pfft.lol,bookwyrm
nekosat.work,pleroma
puzich.social,mastodon
social.hintersphere.com,mastodon
donot.dot1x.me,gotosocial
tube.lelaidier.net,peertube
havent.org,gotosocial
mastodon.muito.top,mastodon
mastodon.s-a.at,mastodon
schipper.social,mastodon
nepeta.moe,misskey
misskey.giatsuki.net,misskey
aiwanxiongxiong.com,misskey
video.thoshis.net,peertube
roedelkiste.de,mastodon
dialog.mikroblog.at,friendica
sonotheque.cemea.org,funkwhale
me.memories.am,mastodon
tonybark.art,pixelfed
gamerr.cyou,mastodon
social.olchis.net,mastodon
mastodon.brdsnest.net,mastodon
bw.heraut.eu,bookwyrm
lemmy.crimedad.work,lemmy
mastodon.ashevillains.org,mastodon
social.heraut.eu,hubzilla
bookwyrm.nops.red,bookwyrm
misskey.edel-ornstein.pro,misskey
xmsky.xsns.jp,misskey
merovingian.club,mastodon
social.championpictures.at,mastodon
kink.jp,mastodon
lightchannel.tv,peertube
bokantaj.o-k-i.net,pleroma
video.tum.social,peertube
social.bassie.com,gotosocial
gnubox.org,gotosocial
alien.insurrection.tech,mastodon
byeolvit.space,misskey
nsfwphotography.social,mastodon
social.teamb.space,mastodon
popkulturreferenz.de,mastodon
labour.social,mastodon
pixels.techtransthai.org,pixelfed
biketravel.photos,pixelfed
shitpost.school,mastodon
orreadi.com,bookwyrm
aincrad.lol,sharkey
social.undrground.org,mastodon
kopiti.am,mastodon
liberdon.com,mastodon
gensokyou.com,misskey
mastodon.gastrokon.com,mastodon
gleasonator.dev,ditto
kitty.town,mastodon
crank.recoil.org,peertube
maly.io,mastodon
acg.mn,mastodon
ebooks.social,mastodon
write.graz.social,writefreely
the-box.work,misskey
voxtek.enterprises,sharkey
social.security.plumbing,mastodon
constellation.ingouvernables.info,gancio
friendica.os-service.eu,friendica
key.dokodare.ovh,misskey
fedi.yaf.ai,mastodon
physik.cool,mastodon
mastodon.noahduffy.me,mastodon
mastodon.chaoticqueers.org,mastodon
rheinneckar.social,mastodon
social.mikewells.name,mastodon
pixelfed.dk,pixelfed
wildebeest.tooot.app,wildebeest
mastodon.vaucher.org,mastodon
social.futurnumerique.com,mastodon
m2.pkgch.com,misskey
fomo.cyou,Mobilizon
mi.ikepe.xyz,misskey
s.basspistol.org,misskey
lemmy.radio,lemmy
mastodon.benpettis.ninja,mastodon
live.kloenk.dev,owncast
video.lanceurs-alerte.fr,peertube
book.dmz.ovh,bookwyrm
social.azlux.fr,sharkey
demo-internal-2.sutty.nl,sutty-distributed-press
write.tane.codes,writefreely
seepocke.at,mastodon
arachnid.town,pleroma
info.sabakan.industries,writefreely
blurts.net,pleroma
kitty.haus,akkoma
read.oddte.ch,bookwyrm
mipuertorico.social,mastodon
federated.photos,pixelfed
micro.arda.pw,mastodon
magpie.gay,mastodon
overgrown.garden,mastodon
social.b4tech.cc,mastodon
ap-risrss.teigtascherlfabrik.net,gotosocial
dit.reformed.social,lemmy
live.4o1x5.dev,owncast
deliverabilit.ie,mastodon
pleroma.envs.net,akkoma
misskey.emymin.net,misskey
calckey.resonite.co.uk,calckey
lemmy.4rs.nl,lemmy
mastodon.fsinf.at,mastodon
vid.y-y.li,peertube
plrelay.bonito.cafe,activityrelay
mogmogkeynet.com,misskey
pixelfed.snowhouse.noho.st,pixelfed
mastodon.schule,mastodon
social.stlouist.com,mastodon
tokonatsu.social,mastodon
seeedstudio.social,mastodon
mastodon.uno,mastodon
lemmings.world,lemmy
masto.es,mastodon
moderately.social,mastodon
despora.de,diaspora
slayers.online,mastodon
social.opendesktop.org,mastodon
soapbox.hackdefendr.com,mastodon
blog.closed.social,plume
alinke.com,mastodon
attractive.space,mastodon
social.luca0n.com,pleroma
mastodon.blocki.net,mastodon
videos.sarcasmstardust.com,peertube
social.workingagenda.com,wordpress
mi2.suzusiro.com,misskey
xarxa.cloud,mastodon
gigant.social,mastodon
cailincat.cloud,mastodon
securitycafe.ca,mastodon
infosec.pub,lemmy
tt.vvxq.ca,mastodon
social.cavac.at,mastodon
social.adamasnemesis.com,mastodon
logoff.website,mastodon
etw.uk,mastodon
bonn.rocks,bookwyrm
mastodon.ap-msk.com,mastodon
videos.courat.fr,peertube
oc.scenthelta.city,mastodon
gazette.live,mastodon
lemmy.titanplusplus.online,lemmy
social.purple-horizon-clan.net,mastodon
mementomori.social,mastodon
toot.leif.pl,akkoma
nautical.social,mastodon
mastodon.mindthebig.rocks,mastodon
social.mkr-tech.ch,mastodon
mstdn.immatrix.de,mastodon
mstdn.yurutan.net,mastodon
memelords.zone,pleroma
www.urbanmind.net,friendica
just-one-more.club,writefreely
wholesome.computer,mastodon
hackr.org,mastodon
hypno.cafe,akkoma
tube.tilera.xyz,peertube
darkfriend.social,mastodon
hakatashi.com,activitypub-firebase
mastodonkenya.com,mastodon
relay.gamelore.fun,pub-relay
purplespider.social,mastodon
wisskomm.social,mastodon
mi.tani-exe.net,misskey
drum.afrocenter.com,friendica
liberalsociety.uk,mastodon
my.jewy.blog,writefreely
life.starly.blue,akkoma
yuri.garden,misskey
noisy-lab.com,mastodon
molaguay.xyz,mastodon
social.harekiet.com,mastodon
mastodon.uguu.io,mastodon
pix.freiraumzittau.de,pixelfed
rblind.com,lemmy
mk.grailwar.com,misskey
homestead.social,mastodon
en.osm.town,mastodon
norden.social,mastodon
mastodon.ctseuro.com,mastodon
verces.vercel.app,verces
m.aqr.af,mastodon
discuz-fedi.2s.ink,misskey
koolaidwithkaran.com,writefreely
voxdiva.poorabstraction.dev,gotosocial
social.rebellion.global,mastodon
f.e4.pm,akkoma
oisaur.com,mastodon
social.coop,mastodon
masto.deluma.biz,mastodon
cloudpirat.es,misskey
charade.social,pleroma
michif.xyz,microblogpub
pixel.melin.org,pixelfed
social.froonix.org,mastodon
m.noxie.ch,mastodon
wasnever.cool,mastodon
christmas.tattoo,gotosocial
probandoactivitypub10.sutty.nl,sutty-distributed-press
write.halfbyte.org,writefreely
acespace.social,mastodon
s.zynexis.com,pleroma
social.fbievan.live,pleroma
ramen-fsm.eu.org,mastodon
denizens.social,mastodon
gaydadon.jp,mastodon
goto.pym.industries,gotosocial
live.sagefather.tv,owncast
shirtless.gay,mastodon
social.automaphoni.ca,gotosocial
social.wuatek.is,akkoma
nyr.shark.community,aoderelay
tdd.social,mastodon
is.handsomewaifu.pink,akkoma
gyutte.site,misskey
blog.mundanenoir.com,writefreely
pleroma.xyenon.bid,pleroma
wolfgirl.bar,pleroma
status.nanoyagi.com,pleroma
lemmy.fwgx.uk,lemmy
toots.hallanalysis.com,mastodon
screaminginsi.de,gotosocial
pone.social,mastodon
cast.drownthewitch.com,owncast
mastodon.familleboisteau.fr,mastodon
mastodon.calacademy.org,mastodon
majestic12.airforce,pleroma
s.1a23.studio,firefish
pixelfed.krebos.nl,pixelfed
social.caserio.de,mastodon
frostmn.pics,pixelfed
toot.nx-pod.de,mastodon
plrm.komaniya.work,pleroma
mastodon.uy,mastodon
twlght.net,mastodon
mastodon.thegovlab.com,mastodon
meme.xm2p.ix.tc,gotosocial
jonaswouters.com,writefreely
mas.nocogabriel.fr,mastodon
jollyville.net,pleroma
gts.schalanda.name,gotosocial
fedi.gareth-coles.dev,firefish
pix.zeroes.ca,pixelfed
thamizhi.xyz,mastodon
toot.berlin,mastodon
reparierecke.de,friendica
mastodon.kmkz.moe,mastodon
pixelfed.helvetet.eu,pixelfed
orlovsky.online,mastodon
fedi.mezzart.fr,misskey
thewizardingworld.com,mastodon
my-sunshine.video,peertube
peertube.laas.fr,peertube
noavailabledisk.space,gotosocial
pix.webm.ink,pixelfed
video.onjase.quebec,peertube
social.node001.net,mastodon
sublimity.net,mastodon
gancio.antroposofiachile.net,gancio
misskey.midorichan.net,misskey
goto.wirespeed.cafe,gotosocial
medievalist.masto.host,mastodon
folksocial.org,mastodon
notasquirrel.dev,mastodon
0.0n.ee,pleroma
gayhorse.club,mastodon
blog.millefeuilles.cloud,writefreely
musique.marmat.ovh,funkwhale
mastodon.theyosh.nl,mastodon
video.eradicatinglove.xyz,peertube
books.chrisco.me,bookwyrm
minitel.cloud,pleroma
social.keiths-place.com,mastodon
gochisou.dev,mastodon
darktundra.xyz,mastodon
my0.net,mastodon
social.dropbear.xyz,mastodon
mastoart.social,mastodon
my.lono.space,iceshrimp
pix.metaversum.wtf,pixelfed
gib.schmus.is,sharkey
ephemerally.art,pixelfed
video.lono.space,peertube
agenda.lanbroa.eus,gancio
social.2600hz.site,mastodon
post.yourein.net,misskey
social.wanderview.com,mastodon
videos.b4tech.org,peertube
bv.umbrellix.org,akkoma
nfld.me,mastodon
rambleon.social,mastodon
events.litera.tools,Mobilizon
darkvapor.nohost.me,peertube
pqcdao.com,mastodon
fedimovie.com,peertube
social.asturias.red,mastodon
goto.spaceling.sh,gotosocial
kho.dev,mastodon
social.eichler-bg.de,mastodon
duck.haus,mastodon
toot.rwell.org,mastodon
posuto.kemomi.me,cherrypick
wug.fun,mastodon
video.canadiancivil.com,peertube
m.wingu.se,mastodon
squeak.social,mastodon
social.redbarrel.net,mastodon
praxis.tube,peertube
onboardthefilm.community,mastodon
icanteventoot.help,mastodon
projectmushroom.social,mastodon
friendica.lukepetrolekas.com,friendica
testing.fossibl.com,mastodon
social.kernel.org,akkoma
tube.laurentclaude.fr,peertube
wordmine.com,mastodon
relay.buckeye.cafe,aoderelay
mastodon.schoentoon.com,mastodon
social.cooltux.net,mastodon
mewmew.moe,misskey
crownel.monster,misskey
lemmy.cloudhub.social,lemmy
carpdiem.online,mastodon
bonk.expert,mastodon
mastodon.partipirate.org,mastodon
mstdn.3naly.xyz,mastodon
blatant-lizardry.moe,misskey
resistit.net,pleroma
mastodon.halibut.com,mastodon
ttrpg.network,lemmy
spgrn.com,lemmy
social.foxdn.net,akkoma
squeet.me,friendica
crxb.cc,owncast
api.clubsall.com,Clubsall
social.michael-webber.com,mastodon
pet.tax,pixelfed
www.c-r-t.tk,plume
lounge.dtzbts.xyz,misskey
fnlog.page,mastodon
social.empathytree.org,mastodon
yamabi.co,mastodon
sunshine.town,gotosocial
www.kotikoff.net,peertube
witches.pub,mastodon
uneune.one,misskey
itcountrythai.com,friendica
chirpr.terrenly.com,akkoma
er-ap.sutty.nl,sutty-distributed-press
heads.social,mastodon
video.bgeneric.net,peertube
mixtape.absturztau.be,funkwhale
social.jorquera.net,mastodon
video.graine-pdl.org,peertube
p.vinchent.xyz,pleroma
thueringen.social,mastodon
misskey.sksat.run,misskey
moe.heredos.net,misskey
fediverse.au,mastodon
social.hackingand.coffee,mastodon
justinyost.social,mastodon
kurz.social,mastodon
sk1.ryanccn.dev,sharkey
41020.social,mastodon
wokka.be,mastodon
videos.npo.city,peertube
shpposter.club,pleroma
social.kanhuji.eu,mastodon
mainframe.club,mastodon
mastodon.marcusquinn.com,mastodon
mastodon.unified.contact,mastodon
mastodon.rss3.io,mastodon
social.meteocon.com,mastodon
masto.doserver.top,mastodon
muffin.industries,mastodon
julien.falgas.fr,wordpress
games.ngo,mastodon
litrpg.online,mastodon
italkedtostrangers.com,mastodon
relay.guild.pmdcollab.org,activity-relay
social.arneckestrasse.de,mastodon
communick.news,lemmy
mastodon.inclusion.cc,mastodon
lemmy-api.ten4ward.social,lemmy
mastodon.chanoa.de,mastodon
mastodon.vaporghost.at,mastodon
solchefreu.de,friendica
recluse.social,mastodon
amastodon.uk,mastodon
status.kinlan.me,mastodon
elcovengenz.net,writefreely
peertube.stream,peertube
relay.layre.space,aoderelay
rejoiner.eu,mastodon
pleroma.afy.jp,pleroma
writeas.guide,writefreely
trapped.online,writefreely
writee.org,writefreely
social.subluminal.industries,akkoma
class.lunanova.dev,akkoma
toot.fs.al,mastodon
sunbeam.city,mastodon
dusky.photos,pixelfed
msky.haruyjsn.net,misskey
social.duarte.vg,friendica
badonkahonk.com,honk
comms.gsd.foundation,mastodon
social.critter.ink,iceshrimp
social.simulacrum-emporium.eu,firefish
mstdn2.ht164.jp,mastodon
utter.online,mastodon
announcements.managedwphosting.pro,mastodon
tears.intherain.club,misskey
gts.interlace.space,gotosocial
fedi.fraw.st,sharkey
fedi.karthikbalakrishnan.com,takahe
video.fuss.bz.it,peertube
bookwyrm.lond.com.br,bookwyrm
backtoroot.xyz,mastodon
fedi.grahamc.com,mastodon
idolheaven.org,pleroma
mato.social,mastodon
fractalego.social,mastodon
mstdn.bdms.ca,mastodon
kafeneio.social,mastodon
birb.space,misskey
www.teutronic-services.de,peertube
rinpuhome.monster,misskey
social.5f9.de,mastodon
beta.programming.dev,lemmy
social.spheron.one,mastodon
wiesbaden.social,mastodon
mastodon.ilus.io,mastodon
tube.rebellion.global,peertube
social.jugendhacker.de,gotosocial
hfms.chaunchy.com,mastodon
ak.kazuma.family,akkoma
is-a.wyvern.rip,sharkey
mastodon.vpx.moe,mastodon
cd0.nl,pleroma
natterati.com,mastodon
mastodonien.de,mammuthus
fedi.dors.et,gotosocial
tirnanog.space,akkoma
social.gnuweeb.org,mastodon
mastodon.dkl.jp,mastodon
