hostname,software
audio.agate.blue,funkwhale
stream.ozoned.net,owncast
social.muchametow.de,mastodon
misskey.adolfritos.es,misskey
pouet.pt,mastodon
13bells.com,mastodon
social.breisgaucave.de,mastodon
social.ahlroos.me,mastodon
manitu.social,mastodon
djsumdog.com,pleroma
mastodon.kurumah.dev,mastodon
tamausa.trigonoretrism.com,misskey
mastodon.h0lmes.com,mastodon
benz.social,mastodon
brotka.st,akkoma
lemmy.mbl.social,lemmy
pleroma.m68k.church,pleroma
f.freinetz.ch,friendica
goto.devianze.city,gotosocial
social.linuxistcool.de,mastodon
namknat.win,mastodon
social.nikos410.de,mastodon
sizecraft.social,mastodon
social.campusgemeinde.de,mastodon
lepoulsdumonde.com,mastodon
social.niso.org,mastodon
seda.social,mastodon
honk.jxs.me,honk
mastodon.roe.dev,mastodon
tirami.hostdon.ne.jp,mastodon
it.szeged.social,mastodon
im.mibo.live,mastodon
melody.sectiontwo.org,writefreely
tgts.dragon-vi.be,gotosocial
mstdn.dk,mastodon
hemmer.land,mastodon
cherrykitten.gay,gotosocial
leifmetcalf.com,writefreely
makersocial.online,mastodon
mycrowd.ca,akkoma
ocean.herry001.cc,gotosocial
kbin.spritesserver.nl,kbin
crashloop.social,mastodon
blog.mousetail.dev,writefreely
pix.m1n1ster.com,pixelfed
drumcorps.social,mastodon
socio.scronch.com,gotosocial
mastodon.selfhosted.no,mastodon
pixelfed.rlp.schule,pixelfed
relay.ytpmv.info,aoderelay
displayeurope.social,mastodon
bookfactory.kr,NodeBB
retroparadise.tech,mastodon
ue.oiaa.aaio.eu,akkoma
bild.maechler.cloud,pixelfed
vmst.io,mastodon
almajlis.me,mastodon
endlesstalk.org,lemmy
misskey.kokshi.com,misskey
sns.neonka.info,mastodon
annex.fedimovie.com,peertube
majak.de,mastodon
keskonfai.fr,Mobilizon
blog.poslovitch.fr,writefreely
pf.gogreenit.net,pixelfed
misskey.backspace.fm,misskey
freifunk.social,mastodon
social.maou-maou.fr,gotosocial
social.mwsq.de,iceshrimp
tube.hamdorf.org,peertube
ice.frieren.quest,IceshrimpNET
quiet.social,takahe
ap.stereo-graphica.com,pleroma
agora.jkvirt.de,mastodon
literature.cafe,lemmy
md.muyactual.com,mastodon
social.nasutek.com,mastodon
social.pileus.ch,mastodon
mastodon.sherbers.de,mastodon
owncast.eticadigital.eu,owncast
prueba-cola-de-moderacion-1.sutty.nl,sutty-distributed-press
10mb.social,mastodon
video.toby3d.me,peertube
social.haveyouevenmet.me,mastodon
dogodki.kompot.si,Mobilizon
fandom.garden,mastodon
m.rynftz.gr,mastodon
links.pfefferle.org,betula
lem.ph3j.com,lemmy
clockcrock.click,misskey
mastodon.jfr.im,pleroma
pointless.video,peertube
social.restless.systems,mastodon
mipple.love,mastodon
sffa.community,lemmy
friendica.kmkz.moe,friendica
realms.jardin-des-slimes.fr,mastodon
miauws.life,mastodon
hackaday.social,mastodon
theexpanse.forum,kbin
smithtodon.org,mastodon
m.socialyeti.club,mastodon
rubber.social,mastodon
stoney.social,friendica
ellis.social,mastodon
peertube.podverse.fm,peertube
friendhole.social,mastodon
boymilk.cafe,pleroma
tecnfy.com,mastodon
tormentnexus.dev,gotosocial
freight.fan,mastodon
mouth.semperpax.com,mastodon
lemmy.kwain.net,lemmy
mastodon.lyng.space,mastodon
neckarwie.se,mastodon
hubzilla.monster,hubzilla
pixelsocial.network,gotosocial
social.tsd.zone,mastodon
bbq.snoot.com,mastodon
posts.dani.cool,mastodon
glib.social,mastodon
mattwynne.net,writefreely
mastodon.giema.net,mastodon
castoranxieux.ca,akkoma
relay.opencoaster.net,aoderelay
yusaao.com,akkoma
mstdn.thms.uk,mastodon
misskey.gochiuma.net,misskey
d3f4ult.space,mastodon
social.jellyosaurus.com,firefish
humphry.uk,mastodon
karthikb351.com,takahe
comics.peertube.biz,peertube
blog.anartist.org,writefreely
int.relay.pfalz.social,aoderelay
eventos.conhub.pt,gancio
stream.yurupath.net,owncast
wetshaving.social,mastodon
toot.bike,mastodon
wirtube.de,peertube
nyan.pics,pixelfed
social.pixie.town,mastodon
yeen.exposed,mastodon
servernerds.net,mastodon
peertube.techsupporter.net,peertube
rodvand.net,mastodon
social.hp-gauster.name,friendica
tomodachi.gafea.net,mastodon
honks.io,mastodon
krefeld.life,mastodon
buttersc.one,misskey
backup.hashtaggames.online,SingleFileActivityPubServerinPHP
live.codinglab.ch,peertube
mammut.sekhen.com,mastodon
gugus.social,mastodon
funkwhale.laurinweger.de,funkwhale
hardware.watch,lemmy
social.brunk.io,mastodon
vtor.me,mastodon
social.feep.org,mastodon
s.krbonne.net,gotosocial
nerdstadt.de,mastodon
akkoma.fawks.ie,akkoma
mblog.zhaohai.li,gotosocial
ponderings.co,writefreely
mediathek.rzgierskopp.de,peertube
fedi.plomlompom.com,microblogpub
fieldprogrammable.gay,sharkey
social.tinygo.org,mastodon
kauaku.us,gotosocial
yiff.life,mastodon
diaspora.im,mastodon
maruacg.com,misskey
ournetworks.ca,sutty-distributed-press
psychotherapy.social,hometown
toots.codeenigma.com,mastodon
hole.ucas.icu,mastodon
hom.ph,mastodon
music.groumpf-legroupe.fr,funkwhale
social.xyntion.consulting,mastodon
msky.z-n-a-k.net,misskey
social.trojaner.dev,firefish
thepathbegins.social,mastodon
elmar.live,mastodon
energiewende.social,mastodon
friendicadev.sekretaerbaer.de,friendica
vyrse.social,mastodon
oldpeople.cafe,mastodon
samh.us,mastodon
sayurili.hostdon.ne.jp,mastodon
mace.social,mastodon
codesnark.com,mastodon
social.quack.social,mastodon
diode.zone,peertube
social.qlyoung.net,akkoma
social.alyx.pink,gotosocial
occitanie-decroissance.info,mastodon
mastodon.billybradley.uk,mastodon
mastodon.bierschutzpartei.de,mastodon
mstd.ingyeo.net,mastodon
social.tille.ch,pleroma
masto.big.sb,mastodon
social.daenarion.com,mastodon
wlslymast.com,mastodon
peering.social,mastodon
500.social,mastodon
mastodon.andreasrohner.net,mastodon
dynasty.football,mastodon
nicecrew.digital,pleroma
writersaur.us,mastodon
galacticaactu.al,mastodon
social.lemee.co,mastodon
hilariouschaos.com,lemmy
video-liberty.com,peertube
frisphook.hilciferous.nl,mastodon
mastodon.xnop.yt,mastodon
tube.kotur.org,peertube
mastodon.mrak.at,mastodon
draconity.me,mastodon
waf.social,mastodon
mastodon.evl.fi,mastodon
gts.tuttipazzi.cyou,gotosocial
lemmy.86thumbs.net,lemmy
fediverse.wesnoth.org,pleroma
sgb075.fedicity.net,mastodon
mastodon.shukriadams.com,mastodon
quoli.bet,quolibet
mastodon.mayer.rocks,mastodon
standup-comics.net,mastodon
helmholtz.social,mastodon
mastodon.edufor.me,mastodon
barcamp.social,mastodon
thelake.town,mastodon
blog.troch.org,mastodon
mi.growthers.dev,misskey
eepy.moe,sharkey
sidraco.in,akkoma
uff.rip,mastodon
birb.site,mastodon
notes.musing.studio,writefreely
elephant.crime.group,mastodon
mastodon.ktachibana.party,mastodon
hidamari.apartments,pleroma
boilerbeach.xyz,mastodon
die-partei.social,mastodon
funkwhale.boringcactus.com,funkwhale
peertube.inubo.ch,peertube
peertube.gargantia.fr,peertube
masto.ink,mastodon
www.naturfuehrer-sh.de,wordpress
social.vaenner.net,snac
discrust.diy.net.pl,writefreely
social.lviv2.dcomm.net.ua,mastodon
funkwhale.jcg.re,funkwhale
peertube.jimchen.me,peertube
mastodon.localecho.net,mastodon
video.alicia.ne.jp,peertube
comf.rocks,funkwhale
grammus.net,mastodon
photo.myocci.social,pixelfed
mastodon.ianmorrill.com,mastodon
crowleyclub.com,mastodon
wonkodon.com,mastodon
blockchained.world,lemmy
px.rtfsk.de,pixelfed
probandoactivitypub7.sutty.nl,sutty-distributed-press
yinyang.social,mastodon
pixel.vyizis.tech,pixelfed
social.arekkusu.net,gotosocial
gotosocial.net,gotosocial
social.fogcloud.org,pleroma
friendica.pflanzmit.28apps-software.de,friendica
asphodel.rip,pleroma
ourislandgeorgia.net,mastodon
urgo.social,mastodon
social.spielenmitlili.com,mastodon
cutie.city,mastodon
social.jstsmthrgk.eu,mastodon
psst.al0.de,mastodon
social.marcosilva.eu,gotosocial
bxe.io,pleroma
androiddev.social,mastodon
snipetteville.in,akkoma
media.interior.edu.uy,peertube
minimalistedtech.org,writefreely
gal.muri.zip,pixelfed
activitypub.awakari.com,Awakari
www.sharebright.net,mastodon
fed.dyne.org,lemmy
sharkey.travelpandas.eu,sharkey
test.mstddntfdn.online,mastodon
pixel.crcmz.me,pixelfed
apricot.social,mastodon
minima-testeo2.sutty.nl,sutty-distributed-press
mk.shiro.ink,misskey
video.vaku.org.ua,peertube
social.lol,mastodon
youthweb.social,mastodon
friendica.dszdw.net,friendica
beyondgender.social,mastodon
lile.cl,mastodon
badatbeing.social,lemmy
social.tree.dance,mastodon
farmiverse.social,mastodon
cuche.cc,akkoma
mastodon.gsugambit.com,mastodon
9600bps.com,mastodon
buzzworkers.com,funkwhale
pixl.fi,pixelfed
toot.teckids.org,mastodon
video.valme.io,peertube
friendsofdesoto.social,mastodon
pix.caselibre.fr,pixelfed
mk.shc.kanagawa.jp,meisskey
best-friends.chat,mastodon
art.glitch.monster,pixelfed
ambrosia.cafe,akkoma
orcacruises.pro,misskey
gts.nyro2.com,gotosocial
piggo.space,pleroma
hallo.ween.de,gotosocial
social.zentonic.org,mastodon
zdrojak.cz,wordpress
squirrelmob.com,mastodon
videos.wikilibriste.fr,peertube
ludiflux.intern.at,mastodon
peertube.axiom-paca.g1.lu,peertube
social.ornella.xyz,mastodon
video.mobile-adenum.fr,peertube
feed.technodisaster.com,mastodon
reax.work,misskey
urusai.social,mastodon
reply-dev.good.news,activity-relay
mastodon.benzas.lt,mastodon
pixelfd.io,pixelfed
cumraci.tv,peertube
mofu.life,misskey
piupiupiu.com.br,mastodon
ap.alexjanka.com,mastodon
mast.srweaver.com,mastodon
peertube.dynlinux.io,peertube
kuscheltierdoktor.de,writefreely
pix.diaspodon.fr,pixelfed
mk.asie.pl,misskey
gnurfl.de,mastodon
toot.protect.earth,mastodon
awawi.nexus,sharkey
electronic-sports.club,hometown
phz.jp,misskey
veedeo.org,peertube
weird.autos,mastodon
social.r21.io,pleroma
bluebell.social,mastodon
faculty.mastodon.stanford.edu,mastodon
social.shrimp.faith,mastodon
reviewdb.app,neodb
fisting.social,mastodon
federated.site,hubzilla
social.belaza.eu,firefish
social.tmp1024.com,mastodon
misskey.kyoupro.com,misskey
vault37.xyz,mastodon
social.lnyan.com,pleroma
mikroblog.dk,mastodon
pleroma.4466848.xyz,pleroma
watch.chjh.nl,owncast
friendica.eebrn.de,
me.oer.me,pleroma
zettel.haus,mastodon
fd.ooio.org,friendica
fedi.lumey.dev,sharkey
social.tsdev.live,mastodon
newspapers.se,mastodon
jontka.fi,mastodon
social.amsterdam.nl,mastodon
social.sanfranciscan.org,pleroma
scuttle.cloud,mastodon
hub.hayfidelity.de,hubzilla
stream.vrse.be,peertube
plutus.social,mastodon
strings.io,akkoma
gts.thewordnerd.info,gotosocial
social.evveland.com,mastodon
bouquins.zbeul.fr,bookwyrm
ap.zio.sh,gotosocial
archaeo.social,mastodon
switter.su,lemmy
relay.molthagen.de,activityrelay
misskey.sao-x.com,misskey
donadvr.de,mastodon
friendica.alfter.us,friendica
mastodon.trand.fr,mastodon
mastodon.xn--t8jzbl7g.jp,mastodon
peer.mrschneeball.xyz,peertube
prlic.social,mastodon
mix.video,peertube
social.mf1.dev,iceshrimp
mokomokohouse.com,mastodon
so.eddyn.net,mastodon
roggenkamp.social,mastodon
mastodon.macalinao.org,mastodon
philipjohn.social,mastodon
sutty.nl,sutty-distributed-press
video.snug.moe,peertube
qn.krig.jp,mastodon
lehrmastodon.com,mastodon
wired.bluemarch.art,lemmy
akamdon.com,mastodon
